                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3037,                0.88613,                 1.1645,                0.70244,                0.62372,                0.67439,                0.36199,                 1.5408,                 1.0973,                 1.3464,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.2892,                0.86883,                  1.155,                0.71022,                  0.625,                0.67757,                0.36538,                 1.5501,                 1.0702,                 1.3611,               0.009109,               0.009109,               0.009109
                     47,                 1.2984,                0.86864,                 1.1605,                0.70876,                 0.6199,                0.67084,                 0.3618,                 1.5347,                 1.0904,                 1.3422,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.3049,                0.87151,                 1.1578,                0.69778,                0.62436,                0.67495,                0.37558,                 1.5128,                 1.0942,                 1.3051,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.2943,                  0.847,                 1.1537,                0.69131,                  0.627,                0.66758,                0.36464,                 1.5293,                 1.0831,                 1.3417,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.2704,                0.83414,                 1.1419,                0.70657,                0.59893,                0.65464,                0.36642,                 1.5214,                 1.0696,                 1.3375,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.2729,                 0.8427,                   1.14,                0.69646,                0.63457,                0.66752,                0.37393,                 1.5255,                 1.0572,                 1.3364,                0.00901,                0.00901,                0.00901
                     52,                 1.2524,                0.82213,                 1.1302,                0.67937,                0.64732,                0.67746,                0.37382,                 1.5297,                   1.08,                 1.3337,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.2444,                0.81473,                 1.1263,                0.72824,                0.62372,                0.68476,                0.38125,                 1.5192,                 1.0393,                 1.3271,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.2267,                0.80483,                 1.1208,                0.73247,                0.59366,                0.67162,                0.38106,                 1.5114,                 1.0592,                 1.3278,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.2262,                 0.7932,                  1.116,                0.70492,                0.62309,                0.66475,                0.36708,                 1.5072,                 1.0611,                 1.3292,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2087,                0.78021,                 1.1109,                0.68993,                0.61798,                0.67385,                0.38356,                 1.4931,                 1.0674,                 1.3249,               0.008911,               0.008911,               0.008911
                     57,                 1.2138,                0.79139,                 1.1151,                 0.6941,                0.64541,                0.67298,                0.37689,                 1.5185,                 1.0539,                  1.334,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2107,                0.77956,                 1.1036,                 0.7108,                0.60969,                 0.6615,                0.36648,                  1.547,                 1.0646,                 1.3609,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.1859,                0.76426,                 1.0927,                 0.7196,                0.62372,                0.66012,                 0.3701,                 1.5269,                  1.068,                 1.3501,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.1863,                0.75564,                 1.0943,                0.68996,                0.62946,                0.66828,                0.37441,                 1.5225,                 1.0701,                 1.3492,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2077,                0.77593,                 1.1022,                 0.7086,                0.62755,                0.66946,                0.37164,                 1.5408,                   1.05,                 1.3612,               0.008812,               0.008812,               0.008812
                     62,                 1.1778,                0.75253,                 1.1021,                 0.6915,                0.64473,                0.67179,                0.38225,                 1.4846,                 1.0236,                 1.3254,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.1791,                0.76212,                 1.0917,                0.70415,                0.64605,                 0.6877,                0.38706,                 1.4935,                 1.0271,                   1.32,              0.0087724,              0.0087724,              0.0087724
                     64,                 1.1592,                0.73825,                 1.0943,                0.72455,                0.62564,                0.68016,                0.39623,                 1.4709,                 1.0347,                 1.3216,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.1522,                0.73357,                  1.084,                0.72118,                0.63329,                0.67398,                 0.3858,                 1.5057,                  1.015,                 1.3475,              0.0087328,              0.0087328,              0.0087328
                     66,                 1.1338,                0.71303,                 1.0788,                0.73255,                0.62946,                0.69553,                0.40264,                 1.4678,                 1.0257,                 1.3182,               0.008713,               0.008713,               0.008713
                     67,                 1.1293,                 0.7221,                  1.077,                0.67851,                0.67666,                0.68272,                0.39293,                  1.482,                 1.0302,                 1.3342,              0.0086932,              0.0086932,              0.0086932
